"year","post.mean","post.SD","post.025","post.975"
2008,0.473987393096537,0.0170848838304748,0.440318954270329,0.507409784037269
2009,0.591749917420014,0.0167778118323886,0.558995082622648,0.625020279588564
2010,0.66207148440641,0.0169797411175451,0.629017173472203,0.695768300457267
2011,0.538040093606681,0.0174736321511122,0.504078105224794,0.572770507900924
2012,0.571201750918046,0.0173554783325527,0.537469288838891,0.605661696614284
2013,0.612306650188964,0.0175928575374789,0.578142690822721,0.646938247179383
2014,0.67504667587479,0.0172446161769319,0.641707024749614,0.709196290510808
2015,0.824116812367866,0.0173426492037597,0.789818792031495,0.858087642660409
2016,0.925400894508536,0.0173138049047871,0.891973406104666,0.959477744180332
2017,0.834498092944749,0.0174312088299534,0.800600256234813,0.869074492055049
2018,0.757878676860282,0.0174386923463434,0.724106409048613,0.792456816388767
2019,0.88774295707838,0.0176349456821659,0.853265254187715,0.922145843640535
2020,0.921900102936686,0.0176963683790187,0.887059602307977,0.956078103392532
